,video_id,title,active_since_days,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,likes,dislikes,comments
2759,EFJu7JpaoKE,23 EASY AND COOL DIY HALLOWEEN DECOR IDEAS,1095,834,40283058,42,8,0,7,0,1,5.25,1,1,0.3916666666666666,282722,31024,10403
2760,66U6YCqYIuk,90 BEST ORGANIZATION HACKS TO MAKE YOUR LIFE EASIER,1095,2040,420046,51,9,0,8,0,2,5.666666666666667,1,1,1.0,7008,743,487
2761,5yYYFEhvBU8,THE 30 MOST USEFUL LIFE HACKS EVER,1095,513,4742024,34,7,0,6,0,2,4.857142857142857,1,0,0.4,27546,4773,1272
2762,G_oE1fCeuOY,28 UNEXPECTED HACKS WITH A DRILL,1095,350,221186,32,6,0,5,0,2,5.333333333333333,1,1,0.1,3540,401,427
2763,64shoCM7S_8,27 CRAZY FOOD TRICKS THAT ARE SO CLEVER,1095,816,833411,39,8,0,7,0,3,4.875,1,1,-0.2166666666666666,7847,746,447
2764,v2wn5vPw2sU,30 USEFUL GLUE GUN HACKS AND CRAFTS,1095,1020,2019058,35,7,0,6,0,1,5.0,1,1,0.3,12422,1865,1066
2765,mj0RX_XgzDs,27 SIMPLE DIYs FOR THE WHOLE FAMILY,1095,960,11546434,35,7,0,5,0,2,5.0,1,1,0.1,75590,10902,3300
2766,xp86oY6zA5E,25 QUICK WAYS TO GET HEALTHY AND SHINY HAIR,1095,627,263935,43,9,0,8,0,2,4.777777777777778,1,1,0.4166666666666666,4320,402,373
2767,8SoPcbJrYLA,32 BEAUTY HACKS YOU'D WISH YOU'D KNOWN SOONER,1095,684,856184,45,8,2,7,0,2,5.625,1,1,0.0,9173,861,658
2768,g1__UP7oSBU,20 NEW WAYS TO COOK EGGS YOU HAVEN'T THOUGHT OF YET,1095,889,5012536,51,11,1,10,0,4,4.636363636363637,1,1,0.1363636363636363,52695,4705,2462
2769,lHEu7piSgls,20 MAKEUP HACKS TO SAVE YOUR TIME AND MONEY,1095,900,2366744,43,9,0,8,0,3,4.777777777777778,1,1,0.0,22122,2473,869
2770,or5uAXZuuyU,28 MONEY-SAVING TRICKS AND HACKS,1095,1080,1042945,32,5,1,4,0,1,6.4,1,1,0.0,8799,1010,534
2771,uvLKeuBUkU0,27 CHEAP GIFT WRAPPING IDEAS THAT WILL SAVE YOUR LIFE,1095,1380,3627501,53,10,0,9,0,3,5.3,1,1,0.4,42220,2882,1447
2772,N4qcoBxIaes,25 FLAWLESS BEAUTY SECRETS THAT WILL SAVE YOU THOUSANDS,1095,1140,2140689,55,9,0,8,0,3,6.111111111111111,1,1,1.0,14572,1598,597
2773,3OMobyAU5Pk,33 GENIUS HACKS YOU DIDN'T KNOW YOU NEEDED,1095,1200,2339330,42,8,1,7,0,3,5.25,1,1,0.0,17596,2028,874
2774,n3YiSxF4yj0,30 PRODUCTS FOR AMAZING SKIN,1095,1260,161471,28,5,0,4,0,1,5.6,1,1,0.6000000000000001,2992,243,228
2775,c1fGEE27R0g,25 EASY HAIR HACKS TO SPEED UP YOUR BEAUTY ROUTINE,1095,1020,9172993,50,10,0,9,0,3,5.0,1,1,0.4333333333333333,77517,7141,3005
2776,6m7hoZ2SQYw,17 FANTASTIC DIY CRAFTS FOR THE WHOLE FAMILY,1095,1080,7051435,44,8,0,7,0,2,5.5,1,1,0.3,69420,5878,2194
2777,BeILBzgdN1s&t=112s,30 HACKS AND CRAFTS THAT WILL SAVE YOU THOUSANDS,1095,1140,47750453,48,9,0,8,0,4,5.333333333333333,1,1,0.0,0,0,0
2778,q0o7jaxX9sM,25 SIMPLE BODY HACKS THAT WILL CHANGE YOUR LIFE,1095,714,219402,47,9,0,8,0,3,5.222222222222222,1,1,0.0,6325,266,265
